Species,TWTwNo,Dataset
Euscaphis japonica,19941,Test
Euscaphis japonica,20284,Test
Euscaphis japonica,21628,Test
Styrax japonica,23401,Test
Styrax japonica,19586,Test
Styrax japonica,6344,Test
Styrax japonica,17500,Test
Styrax japonica,21549,Test
Camellia japonica,18842,Test
Camellia japonica,16972,Test
Camellia japonica,16974,Test
Camellia japonica,16079,Test
Camellia japonica,19668,Test
Eurya japonica,15662,Test
Eurya japonica,16078,Test
Eurya japonica,19544,Test
Eurya japonica,20182,Test
Eurya japonica,20961,Test
Callicarpa japonica,21936,Test
Callicarpa japonica,18613,Test
Callicarpa japonica,16991,Test
Callicarpa japonica,14760,Test
Callicarpa japonica,19015,Test
Prunus jamasakura,18453,Surplus
Prunus jamasakura,19137,Surplus
Prunus jamasakura,17023,Surplus
Prunus jamasakura,846,Surplus
Prunus jamasakura,5693,Surplus
Prunus jamasakura,11982,Surplus
Prunus jamasakura,6324,Surplus
Prunus jamasakura,1380,Surplus
Prunus jamasakura,9333,Surplus
Prunus jamasakura,12250,Surplus
Prunus jamasakura,454,Surplus
Prunus jamasakura,6325,Surplus
Prunus jamasakura,18982,Surplus
Prunus jamasakura,19081,Surplus
Prunus jamasakura,20190,Surplus
Prunus jamasakura,20331,Surplus
Prunus jamasakura,21224,Surplus
Prunus jamasakura,21664,Surplus
Prunus jamasakura,21618,Surplus
Deutzia crenata,22592,Surplus
Deutzia crenata,23621,Surplus
Deutzia crenata,23701,Surplus
Deutzia crenata,19075,Surplus
Deutzia crenata,15867,Surplus
Deutzia crenata,13955,Surplus
Deutzia crenata,19198,Surplus
Deutzia crenata,19153,Surplus
Deutzia crenata,19903,Surplus
Deutzia crenata,20262,Surplus
Deutzia crenata,21190,Surplus
Deutzia crenata,22696,Surplus
Deutzia crenata,21614,Surplus
Hydrangea paniculata,22048,Surplus
Hydrangea paniculata,23506,Surplus
Hydrangea paniculata,23608,Surplus
Hydrangea paniculata,19004,Surplus
Hydrangea paniculata,2875,Surplus
Hydrangea paniculata,15888,Surplus
Hydrangea paniculata,19756,Surplus
Hydrangea paniculata,20255,Surplus
Schizophragma hydrangeoides,22515,Surplus
Schizophragma hydrangeoides,18136,Surplus
Schizophragma hydrangeoides,19667,Surplus
Schizophragma hydrangeoides,19785,Surplus
Stachyurus praecox,21933,Surplus
Stachyurus praecox,22560,Surplus
Stachyurus praecox,22652,Surplus
Stachyurus praecox,23722,Surplus
Stachyurus praecox,18621,Surplus
Stachyurus praecox,18828,Surplus
Stachyurus praecox,16314,Surplus
Stachyurus praecox,14362,Surplus
Stachyurus praecox,15824,Surplus
Stachyurus praecox,15666,Surplus
Stachyurus praecox,4383,Surplus
Stachyurus praecox,4381,Surplus
Stachyurus praecox,14849,Surplus
Stachyurus praecox,14860,Surplus
Stachyurus praecox,19884,Surplus
Stachyurus praecox,20132,Surplus
Stachyurus praecox,20608,Surplus
Stachyurus praecox,20235,Surplus
Stachyurus praecox,20955,Surplus
Euscaphis japonica,23429,Surplus
Euscaphis japonica,23643,Surplus
Euscaphis japonica,18879,Surplus
Euscaphis japonica,19264,Surplus
Euscaphis japonica,19024,Surplus
Euscaphis japonica,19086,Surplus
Euscaphis japonica,15167,Surplus
Euscaphis japonica,12892,Surplus
Euscaphis japonica,19529,Surplus
Euscaphis japonica,20958,Surplus
Styrax japonica,23438,Surplus
Styrax japonica,23614,Surplus
Styrax japonica,14378,Surplus
Styrax japonica,17357,Surplus
Styrax japonica,15161,Surplus
Styrax japonica,12832,Surplus
Styrax japonica,17011,Surplus
Styrax japonica,15802,Surplus
Styrax japonica,19402,Surplus
Styrax japonica,19902,Surplus
Styrax japonica,20606,Surplus
Styrax japonica,20226,Surplus
Styrax japonica,21156,Surplus
Camellia japonica,23458,Surplus
Camellia japonica,19107,Surplus
Camellia japonica,5683,Surplus
Camellia japonica,12891,Surplus
Camellia japonica,15655,Surplus
Camellia japonica,17319,Surplus
Camellia japonica,19428,Surplus
Camellia japonica,20134,Surplus
Camellia japonica,20252,Surplus
Camellia japonica,20209,Surplus
Camellia japonica,20983,Surplus
Eurya japonica,23402,Surplus
Eurya japonica,23690,Surplus
Eurya japonica,18887,Surplus
Eurya japonica,19041,Surplus
Eurya japonica,3401,Surplus
Eurya japonica,4283,Surplus
Eurya japonica,5641,Surplus
Eurya japonica,5670,Surplus
Eurya japonica,13888,Surplus
Eurya japonica,15132,Surplus
Eurya japonica,15497,Surplus
Eurya japonica,15912,Surplus
Eurya japonica,17308,Surplus
Eurya japonica,20153,Surplus
Eurya japonica,20325,Surplus
Eurya japonica,21368,Surplus
Eurya japonica,21713,Surplus
Callicarpa japonica,23390,Surplus
Callicarpa japonica,23497,Surplus
Callicarpa japonica,23677,Surplus
Callicarpa japonica,18516,Surplus
Callicarpa japonica,18804,Surplus
Callicarpa japonica,19729,Surplus
Callicarpa japonica,20492,Surplus
Callicarpa japonica,21132,Surplus
Callicarpa japonica,21181,Surplus
Callicarpa japonica,21691,Surplus
Callicarpa japonica,21592,Surplus
