Species,TWTwNo,Dataset
Aucuba japonica,4288,Train
Aucuba japonica,6861,Train
Aucuba japonica,15658,Train
Aucuba japonica,2295,Train
Aucuba japonica,3409,Train
Aucuba japonica,17363,Train
Aucuba japonica,6318,Train
Aucuba japonica,6320,Train
Aucuba japonica,15668,Train
Cornus Kousa,23664,Train
Cornus Kousa,18364,Train
Cornus Kousa,19832,Train
Cornus Kousa,20566,Train
Cornus Kousa,21109,Train
Cornus Kousa,21545,Train
Cornus Kousa,21671,Train
Cornus Kousa,15893,Train
Cornus Kousa,1172,Train
Cornus Kousa,12003,Train
Cornus Kousa,3412,Train
Cornus Kousa,17070,Train
Cornus macrophylla,22502,Train
Cornus macrophylla,18391,Train
Cornus macrophylla,19621,Train
Cornus macrophylla,19054,Train
Cornus macrophylla,19151,Train
Cornus macrophylla,19883,Train
Cornus macrophylla,20593,Train
Cornus macrophylla,16119,Train
Cornus macrophylla,16163,Train
Cornus macrophylla,16940,Train
Cornus macrophylla,17033,Train
Cornus macrophylla,18075,Train
Cornus controversa,23427,Train
Cornus controversa,18820,Train
Cornus controversa,18987,Train
Cornus controversa,19837,Train
Cornus controversa,20612,Train
Cornus controversa,21116,Train
Cornus controversa,21174,Train
Cornus controversa,22737,Train
Cornus controversa,16318,Train
Cornus controversa,16298,Train
Cornus controversa,14273,Train
Cornus controversa,18012,Train
Daphniphyllum teijsmannii,22665,Train
Daphniphyllum teijsmannii,23317,Train
Daphniphyllum teijsmannii,18897,Train
Daphniphyllum teijsmannii,19298,Train
Daphniphyllum teijsmannii,19233,Train
Daphniphyllum teijsmannii,19274,Train
Daphniphyllum teijsmannii,19514,Train
Daphniphyllum teijsmannii,21202,Train
Daphniphyllum teijsmannii,12824,Train
Daphniphyllum teijsmannii,15798,Train
Daphniphyllum teijsmannii,17343,Train
Daphniphyllum teijsmannii,15031,Train
Lyonia ovalifolia,22556,Train
Lyonia ovalifolia,18713,Train
Lyonia ovalifolia,18413,Train
Lyonia ovalifolia,20141,Train
Lyonia ovalifolia,20623,Train
Lyonia ovalifolia,21135,Train
Lyonia ovalifolia,21223,Train
Lyonia ovalifolia,2556,Train
Lyonia ovalifolia,16973,Train
Lyonia ovalifolia,13926,Train
Lyonia ovalifolia,426,Train
Lyonia ovalifolia,2596,Train
Pieris japonica,19116,Train
Pieris japonica,20218,Train
Pieris japonica,21217,Train
Pieris japonica,21543,Train
Pieris japonica,16945,Train
Pieris japonica,15895,Train
Pieris japonica,13883,Train
Pieris japonica,4282,Train
Pieris japonica,16018,Train
Pieris japonica,14823,Train
Pieris japonica,14762,Train
Pieris japonica,5684,Train
Rhododendron Kaempferi,23745,Train
Rhododendron Kaempferi,6884,Train
Rhododendron Kaempferi,7978,Train
Rhododendron Kaempferi,7979,Train
Rhododendron Kaempferi,21883,Train
Rhododendron Kaempferi,21232,Train
Rhododendron Kaempferi,14184,Train
Rhododendron Kaempferi,19909,Train
Rhododendron Kaempferi,19801,Train
Rhododendron Kaempferi,19806,Train
Rhododendron Kaempferi,19031,Train
Rhododendron Kaempferi,19788,Train
Mallotus japonicas,21953,Train
Mallotus japonicas,23517,Train
Mallotus japonicas,18867,Train
Mallotus japonicas,19141,Train
Mallotus japonicas,19474,Train
Mallotus japonicas,20261,Train
Mallotus japonicas,20934,Train
Mallotus japonicas,22695,Train
Mallotus japonicas,16976,Train
Mallotus japonicas,15807,Train
Mallotus japonicas,12839,Train
Mallotus japonicas,15025,Train
Euptelea polyandra,21971,Train
Euptelea polyandra,18870,Train
Euptelea polyandra,18984,Train
Euptelea polyandra,19065,Train
Euptelea polyandra,20479,Train
Euptelea polyandra,21125,Train
Euptelea polyandra,16943,Train
Euptelea polyandra,18572,Train
Euptelea polyandra,15638,Train
Euptelea polyandra,17511,Train
Euptelea polyandra,3352,Train
Euptelea polyandra,18652,Train
Castanea crenata,23696,Train
Castanea crenata,18372,Train
Castanea crenata,19577,Train
Castanea crenata,19827,Train
Castanea crenata,20163,Train
Castanea crenata,20635,Train
Castanea crenata,21189,Train
Castanea crenata,21653,Train
Castanea crenata,18719,Train
Castanea crenata,9307,Train
Castanea crenata,17050,Train
Castanea crenata,19042,Train
Quercus acuta,23719,Train
Quercus acuta,19013,Train
Quercus acuta,21011,Train
Quercus acuta,21210,Train
Quercus acuta,22611,Train
Quercus acuta,23471,Train
Quercus acuta,24045,Train
Quercus acuta,21121,Train
Quercus acuta,16025,Train
Quercus acuta,768,Train
Quercus acuta,9315,Train
Quercus acuta,16951,Train
Quercus salicina,23597,Train
Quercus salicina,19543,Train
Quercus salicina,19089,Train
Quercus salicina,21270,Train
Quercus salicina,22541,Train
Quercus salicina,23515,Train
Quercus salicina,24013,Train
Quercus salicina,25316,Train
Quercus salicina,16977,Train
Quercus salicina,16143,Train
Quercus salicina,16089,Train
Quercus salicina,3346,Train
Quercus serrata,21986,Train
Quercus serrata,18420,Train
Quercus serrata,18630,Train
Quercus serrata,19719,Train
Quercus serrata,19963,Train
Quercus serrata,20289,Train
Quercus serrata,21163,Train
Quercus serrata,21546,Train
Quercus serrata,13878,Train
Quercus serrata,9324,Train
Quercus serrata,19136,Train
Quercus serrata,19128,Train
Quercus crispula,21976,Train
Quercus crispula,22049,Train
Quercus crispula,18566,Train
Quercus crispula,18702,Train
Quercus crispula,19738,Train
Quercus crispula,21193,Train
Quercus crispula,9321,Train
Quercus crispula,9323,Train
Quercus crispula,5774,Train
Quercus crispula,5775,Train
Quercus crispula,19006,Train
Quercus crispula,19203,Train
Idesia polycarpa,22498,Train
Idesia polycarpa,23293,Train
Idesia polycarpa,18822,Train
Idesia polycarpa,19256,Train
Idesia polycarpa,19033,Train
Idesia polycarpa,19557,Train
Idesia polycarpa,21117,Train
Idesia polycarpa,21583,Train
Idesia polycarpa,15219,Train
Idesia polycarpa,16146,Train
Idesia polycarpa,16966,Train
Idesia polycarpa,17372,Train
Cinnamomum japonicum,22518,Train
Cinnamomum japonicum,22622,Train
Cinnamomum japonicum,23414,Train
Cinnamomum japonicum,23737,Train
Cinnamomum japonicum,18551,Train
Cinnamomum japonicum,19134,Train
Cinnamomum japonicum,19604,Train
Cinnamomum japonicum,19099,Train
Cinnamomum japonicum,20136,Train
Cinnamomum japonicum,21228,Train
Cinnamomum japonicum,20986,Train
Cinnamomum japonicum,727,Train
Lindera erythrocarpa,22601,Train
Lindera erythrocarpa,23465,Train
Lindera erythrocarpa,23639,Train
Lindera erythrocarpa,19583,Train
Lindera erythrocarpa,19197,Train
Lindera erythrocarpa,19925,Train
Lindera erythrocarpa,20210,Train
Lindera erythrocarpa,21708,Train
Lindera erythrocarpa,22735,Train
Lindera erythrocarpa,15849,Train
Lindera erythrocarpa,16053,Train
Lindera erythrocarpa,16944,Train
Lindera umbellata,21969,Train
Lindera umbellata,23604,Train
Lindera umbellata,18700,Train
Lindera umbellata,19178,Train
Lindera umbellata,20595,Train
Lindera umbellata,22705,Train
Lindera umbellata,5636,Train
Lindera umbellata,2871,Train
Lindera umbellata,6835,Train
Lindera umbellata,14756,Train
Lindera umbellata,17527,Train
Lindera umbellata,15626,Train
Ficus erecta,23316,Train
Ficus erecta,19283,Train
Ficus erecta,19551,Train
Ficus erecta,19426,Train
Ficus erecta,20129,Train
Ficus erecta,20312,Train
Ficus erecta,20926,Train
Ficus erecta,21264,Train
Ficus erecta,15529,Train
Ficus erecta,15822,Train
Ficus erecta,6863,Train
Ficus erecta,15192,Train
Morus australis,23479,Train
Morus australis,18442,Train
Morus australis,18792,Train
Morus australis,19114,Train
Morus australis,21230,Train
Morus australis,21574,Train
Morus australis,21886,Train
Morus australis,18025,Train
Morus australis,17083,Train
Morus australis,4336,Train
Morus australis,1170,Train
Morus australis,15868,Train
Ligustrum japonicum,22573,Train
Ligustrum japonicum,23387,Train
Ligustrum japonicum,23693,Train
Ligustrum japonicum,18798,Train
Ligustrum japonicum,19276,Train
Ligustrum japonicum,19135,Train
Ligustrum japonicum,19545,Train
Ligustrum japonicum,20130,Train
Ligustrum japonicum,21607,Train
Ligustrum japonicum,16159,Train
Ligustrum japonicum,5645,Train
Ligustrum japonicum,2214,Train
Pourthiaea villosa,23650,Train
Pourthiaea villosa,18367,Train
Pourthiaea villosa,21104,Train
Pourthiaea villosa,21666,Train
Pourthiaea villosa,416,Train
Pourthiaea villosa,2869,Train
Pourthiaea villosa,13914,Train
Pourthiaea villosa,17073,Train
Pourthiaea villosa,15532,Train
Pourthiaea villosa,17562,Train
Pourthiaea villosa,6850,Train
Pourthiaea villosa,18141,Train
Prunus grayana,22040,Train
Prunus grayana,21336,Train
Prunus grayana,21630,Train
Prunus grayana,14986,Train
Prunus grayana,14475,Train
Prunus grayana,18577,Train
Prunus grayana,18140,Train
Prunus grayana,1381,Train
Prunus grayana,820,Train
Prunus grayana,13312,Train
Prunus grayana,43,Train
Prunus grayana,628,Train
Prunus jamasakura,18358,Train
Prunus jamasakura,15534,Train
Prunus jamasakura,4330,Train
Prunus jamasakura,1137,Train
Prunus jamasakura,13309,Train
Prunus jamasakura,14731,Train
Prunus jamasakura,12251,Train
Prunus jamasakura,19541,Train
Prunus jamasakura,20169,Train
Prunus jamasakura,20181,Train
Prunus jamasakura,21129,Train
Prunus jamasakura,21019,Train
Zanthoxylum piperitum,18463,Train
Zanthoxylum piperitum,19068,Train
Zanthoxylum piperitum,19625,Train
Zanthoxylum piperitum,16300,Train
Zanthoxylum piperitum,4372,Train
Zanthoxylum piperitum,3376,Train
Zanthoxylum piperitum,19887,Train
Zanthoxylum piperitum,19796,Train
Zanthoxylum piperitum,20639,Train
Zanthoxylum piperitum,20557,Train
Zanthoxylum piperitum,20241,Train
Zanthoxylum piperitum,22697,Train
Deutzia crenata,21949,Train
Deutzia crenata,18533,Train
Deutzia crenata,18871,Train
Deutzia crenata,17080,Train
Deutzia crenata,15831,Train
Deutzia crenata,14854,Train
Deutzia crenata,15639,Train
Deutzia crenata,2887,Train
Deutzia crenata,19034,Train
Deutzia crenata,20184,Train
Deutzia crenata,20192,Train
Deutzia crenata,21219,Train
Hydrangea paniculata,23716,Train
Hydrangea paniculata,18624,Train
Hydrangea paniculata,18811,Train
Hydrangea paniculata,19118,Train
Hydrangea paniculata,18110,Train
Hydrangea paniculata,17000,Train
Hydrangea paniculata,17560,Train
Hydrangea paniculata,15883,Train
Hydrangea paniculata,20497,Train
Hydrangea paniculata,21164,Train
Hydrangea paniculata,21215,Train
Hydrangea paniculata,22699,Train
Schizophragma hydrangeoides,18476,Train
Schizophragma hydrangeoides,19005,Train
Schizophragma hydrangeoides,18160,Train
Schizophragma hydrangeoides,13968,Train
Schizophragma hydrangeoides,14158,Train
Schizophragma hydrangeoides,16064,Train
Schizophragma hydrangeoides,16192,Train
Schizophragma hydrangeoides,20592,Train
Schizophragma hydrangeoides,20307,Train
Schizophragma hydrangeoides,20989,Train
Schizophragma hydrangeoides,22730,Train
Schizophragma hydrangeoides,21919,Train
Stachyurus praecox,23663,Train
Stachyurus praecox,18389,Train
Stachyurus praecox,5681,Train
Stachyurus praecox,13907,Train
Stachyurus praecox,16969,Train
Stachyurus praecox,14363,Train
Stachyurus praecox,4298,Train
Stachyurus praecox,14811,Train
Stachyurus praecox,20488,Train
Stachyurus praecox,21118,Train
Stachyurus praecox,22693,Train
Stachyurus praecox,21534,Train
Euscaphis japonica,22615,Train
Euscaphis japonica,18365,Train
Euscaphis japonica,16055,Train
Euscaphis japonica,15827,Train
Euscaphis japonica,738,Train
Euscaphis japonica,15510,Train
Euscaphis japonica,3391,Train
Euscaphis japonica,19564,Train
Euscaphis japonica,19146,Train
Euscaphis japonica,19429,Train
Euscaphis japonica,21178,Train
Euscaphis japonica,21373,Train
Styrax japonica,22584,Train
Styrax japonica,23488,Train
Styrax japonica,23710,Train
Styrax japonica,18474,Train
Styrax japonica,19083,Train
Styrax japonica,19035,Train
Styrax japonica,16056,Train
Styrax japonica,17352,Train
Styrax japonica,16956,Train
Styrax japonica,19194,Train
Styrax japonica,19503,Train
Styrax japonica,21910,Train
Camellia japonica,22552,Train
Camellia japonica,23656,Train
Camellia japonica,18521,Train
Camellia japonica,6849,Train
Camellia japonica,15157,Train
Camellia japonica,16155,Train
Camellia japonica,411,Train
Camellia japonica,14856,Train
Camellia japonica,19547,Train
Camellia japonica,19084,Train
Camellia japonica,19935,Train
Camellia japonica,21640,Train
Eurya japonica,18430,Train
Eurya japonica,18852,Train
Eurya japonica,440,Train
Eurya japonica,15001,Train
Eurya japonica,15174,Train
Eurya japonica,15825,Train
Eurya japonica,16077,Train
Eurya japonica,17335,Train
Eurya japonica,16947,Train
Eurya japonica,19507,Train
Eurya japonica,19929,Train
Eurya japonica,21020,Train
Callicarpa japonica,21950,Train
Callicarpa japonica,23607,Train
Callicarpa japonica,16313,Train
Callicarpa japonica,15832,Train
Callicarpa japonica,15886,Train
Callicarpa japonica,17577,Train
Callicarpa japonica,5637,Train
Callicarpa japonica,18071,Train
Callicarpa japonica,4365,Train
Callicarpa japonica,19922,Train
Callicarpa japonica,20589,Train
Callicarpa japonica,21378,Train
Callicarpa mollis,23683,Train
Callicarpa mollis,18814,Train
Callicarpa mollis,19598,Train
Callicarpa mollis,5638,Train
Callicarpa mollis,15793,Train
Callicarpa mollis,15841,Train
Callicarpa mollis,19639,Train
Callicarpa mollis,19666,Train
Callicarpa mollis,20303,Train
Callicarpa mollis,21151,Train
Callicarpa mollis,21231,Train
Callicarpa mollis,21560,Train
Clerodendron trichotomum,21973,Train
Clerodendron trichotomum,18816,Train
Clerodendron trichotomum,19301,Train
Clerodendron trichotomum,19284,Train
Clerodendron trichotomum,17514,Train
Clerodendron trichotomum,17018,Train
Clerodendron trichotomum,15939,Train
Clerodendron trichotomum,16960,Train
Clerodendron trichotomum,4379,Train
Clerodendron trichotomum,20604,Train
Clerodendron trichotomum,20301,Train
Clerodendron trichotomum,20486,Train
Acer sieboldianum,21899,Validaiton
Acer sieboldianum,21917,Validaiton
Acer sieboldianum,18165,Validaiton
Actinidia arguta,14787,Validaiton
Actinidia arguta,18001,Validaiton
Actinidia arguta,18129,Validaiton
Rhus javanica,19799,Validaiton
Rhus javanica,460,Validaiton
Rhus javanica,18112,Validaiton
Rhus trichocarpa,20286,Validaiton
Rhus trichocarpa,19669,Validaiton
Rhus trichocarpa,18115,Validaiton
Ilex macropoda,20547,Validaiton
Ilex macropoda,21629,Validaiton
Ilex macropoda,14843,Validaiton
Aralia elata,19924,Validaiton
Aralia elata,21150,Validaiton
Aralia elata,21306,Validaiton
Betura grossa,23504,Validaiton
Betura grossa,20495,Validaiton
Betura grossa,18558,Validaiton
Carpinus laxiflora,19846,Validaiton
Carpinus laxiflora,21635,Validaiton
Carpinus laxiflora,18174,Validaiton
Carpinus japonica,21992,Validaiton
Carpinus japonica,16978,Validaiton
Carpinus japonica,18178,Validaiton
Viburnum furcatum,21333,Validaiton
Viburnum furcatum,22725,Validaiton
Viburnum furcatum,18054,Validaiton
Viburnum dilatatum,22525,Validaiton
Viburnum dilatatum,18723,Validaiton
Viburnum dilatatum,473,Validaiton
Euonymus oxyphyllus,22020,Validaiton
Euonymus oxyphyllus,19688,Validaiton
Euonymus oxyphyllus,18096,Validaiton
Clethra barbinervis,23645,Validaiton
Clethra barbinervis,20997,Validaiton
Clethra barbinervis,17546,Validaiton
Aucuba japonica,23678,Validaiton
Aucuba japonica,19596,Validaiton
Aucuba japonica,6314,Validaiton
Cornus Kousa,16005,Validaiton
Cornus Kousa,132,Validaiton
Cornus Kousa,14829,Validaiton
Cornus macrophylla,18850,Validaiton
Cornus macrophylla,21268,Validaiton
Cornus macrophylla,17550,Validaiton
Cornus controversa,19770,Validaiton
Cornus controversa,17361,Validaiton
Cornus controversa,13917,Validaiton
Daphniphyllum teijsmannii,15509,Validaiton
Daphniphyllum teijsmannii,3380,Validaiton
Daphniphyllum teijsmannii,15163,Validaiton
Lyonia ovalifolia,18431,Validaiton
Lyonia ovalifolia,19082,Validaiton
Lyonia ovalifolia,15498,Validaiton
Pieris japonica,18823,Validaiton
Pieris japonica,21168,Validaiton
Pieris japonica,1126,Validaiton
Rhododendron Kaempferi,2878,Validaiton
Rhododendron Kaempferi,16295,Validaiton
Rhododendron Kaempferi,18569,Validaiton
Mallotus japonicas,19618,Validaiton
Mallotus japonicas,16066,Validaiton
Mallotus japonicas,4297,Validaiton
Euptelea polyandra,19885,Validaiton
Euptelea polyandra,16310,Validaiton
Euptelea polyandra,14773,Validaiton
Castanea crenata,18427,Validaiton
Castanea crenata,20485,Validaiton
Castanea crenata,17540,Validaiton
Quercus acuta,18813,Validaiton
Quercus acuta,19058,Validaiton
Quercus acuta,25318,Validaiton
Quercus salicina,21203,Validaiton
Quercus salicina,21633,Validaiton
Quercus salicina,18907,Validaiton
Quercus serrata,19537,Validaiton
Quercus serrata,17548,Validaiton
Quercus serrata,15897,Validaiton
Quercus crispula,18578,Validaiton
Quercus crispula,15924,Validaiton
Quercus crispula,16954,Validaiton
Idesia polycarpa,18494,Validaiton
Idesia polycarpa,18793,Validaiton
Idesia polycarpa,19584,Validaiton
Cinnamomum japonicum,23459,Validaiton
Cinnamomum japonicum,16179,Validaiton
Cinnamomum japonicum,12911,Validaiton
Lindera erythrocarpa,23396,Validaiton
Lindera erythrocarpa,18434,Validaiton
Lindera erythrocarpa,14797,Validaiton
Lindera umbellata,21665,Validaiton
Lindera umbellata,21609,Validaiton
Lindera umbellata,15677,Validaiton
Ficus erecta,19142,Validaiton
Ficus erecta,15788,Validaiton
Ficus erecta,12893,Validaiton
Morus australis,20258,Validaiton
Morus australis,3351,Validaiton
Morus australis,516,Validaiton
Ligustrum japonicum,18884,Validaiton
Ligustrum japonicum,21162,Validaiton
Ligustrum japonicum,15502,Validaiton
Pourthiaea villosa,18536,Validaiton
Pourthiaea villosa,21584,Validaiton
Pourthiaea villosa,3367,Validaiton
Prunus grayana,573,Validaiton
Prunus grayana,349,Validaiton
Prunus grayana,533,Validaiton
Prunus jamasakura,4285,Validaiton
Prunus jamasakura,558,Validaiton
Prunus jamasakura,20263,Validaiton
Zanthoxylum piperitum,4373,Validaiton
Zanthoxylum piperitum,21105,Validaiton
Zanthoxylum piperitum,21339,Validaiton
Deutzia crenata,22619,Validaiton
Deutzia crenata,18486,Validaiton
Deutzia crenata,16312,Validaiton
Hydrangea paniculata,14851,Validaiton
Hydrangea paniculata,16946,Validaiton
Hydrangea paniculata,21892,Validaiton
Schizophragma hydrangeoides,18644,Validaiton
Schizophragma hydrangeoides,14836,Validaiton
Schizophragma hydrangeoides,14837,Validaiton
Stachyurus praecox,18069,Validaiton
Stachyurus praecox,17533,Validaiton
Stachyurus praecox,19102,Validaiton
Euscaphis japonica,23345,Validaiton
Euscaphis japonica,18810,Validaiton
Euscaphis japonica,19546,Validaiton
Styrax japonica,23296,Validaiton
Styrax japonica,18905,Validaiton
Styrax japonica,20935,Validaiton
Camellia japonica,18886,Validaiton
Camellia japonica,15624,Validaiton
Camellia japonica,21201,Validaiton
Eurya japonica,22495,Validaiton
Eurya japonica,19450,Validaiton
Eurya japonica,21166,Validaiton
Callicarpa japonica,22538,Validaiton
Callicarpa japonica,6321,Validaiton
Callicarpa japonica,19797,Validaiton
Callicarpa mollis,23394,Validaiton
Callicarpa mollis,23734,Validaiton
Callicarpa mollis,19100,Validaiton
Clerodendron trichotomum,2866,Validaiton
Clerodendron trichotomum,22742,Validaiton
Clerodendron trichotomum,18648,Validaiton
Acer sieboldianum,23615,Test
Acer sieboldianum,18995,Test
Acer sieboldianum,20545,Test
Acer sieboldianum,4394,Test
Acer sieboldianum,18587,Test
Actinidia arguta,19195,Test
Actinidia arguta,1179,Test
Actinidia arguta,16098,Test
Actinidia arguta,17558,Test
Actinidia arguta,4371,Test
Rhus javanica,23374,Test
Rhus javanica,18451,Test
Rhus javanica,20285,Test
Rhus javanica,21335,Test
Rhus javanica,21526,Test
Rhus trichocarpa,21684,Test
Rhus trichocarpa,21417,Test
Rhus trichocarpa,15518,Test
Rhus trichocarpa,15907,Test
Rhus trichocarpa,19817,Test
Ilex macropoda,18422,Test
Ilex macropoda,22727,Test
Ilex macropoda,21918,Test
Ilex macropoda,13899,Test
Ilex macropoda,4364,Test
Aralia elata,19682,Test
Aralia elata,20572,Test
Aralia elata,13967,Test
Aralia elata,15840,Test
Aralia elata,18677,Test
Betura grossa,18459,Test
Betura grossa,21140,Test
Betura grossa,21579,Test
Betura grossa,626,Test
Betura grossa,4368,Test
Carpinus laxiflora,23702,Test
Carpinus laxiflora,19939,Test
Carpinus laxiflora,20632,Test
Carpinus laxiflora,3336,Test
Carpinus laxiflora,13896,Test
Carpinus japonica,23635,Test
Carpinus japonica,18985,Test
Carpinus japonica,20249,Test
Carpinus japonica,17032,Test
Carpinus japonica,18604,Test
Viburnum furcatum,22006,Test
Viburnum furcatum,18684,Test
Viburnum furcatum,16276,Test
Viburnum furcatum,17071,Test
Viburnum furcatum,4359,Test
Viburnum dilatatum,18874,Test
Viburnum dilatatum,20201,Test
Viburnum dilatatum,20951,Test
Viburnum dilatatum,2889,Test
Viburnum dilatatum,15536,Test
Euonymus oxyphyllus,18483,Test
Euonymus oxyphyllus,19000,Test
Euonymus oxyphyllus,21550,Test
Euonymus oxyphyllus,13934,Test
Euonymus oxyphyllus,18175,Test
Clethra barbinervis,19565,Test
Clethra barbinervis,22734,Test
Clethra barbinervis,2594,Test
Clethra barbinervis,13879,Test
Clethra barbinervis,14831,Test
Aucuba japonica,18808,Test
Aucuba japonica,527,Test
Aucuba japonica,17309,Test
Aucuba japonica,6319,Test
Aucuba japonica,5688,Test
Cornus Kousa,18429,Test
Cornus Kousa,19628,Test
Cornus Kousa,20512,Test
Cornus Kousa,378,Test
Cornus Kousa,13932,Test
Cornus macrophylla,23445,Test
Cornus macrophylla,20979,Test
Cornus macrophylla,21548,Test
Cornus macrophylla,16052,Test
Cornus macrophylla,15794,Test
Cornus controversa,18448,Test
Cornus controversa,20198,Test
Cornus controversa,18153,Test
Cornus controversa,16302,Test
Cornus controversa,18561,Test
Daphniphyllum teijsmannii,19138,Test
Daphniphyllum teijsmannii,20987,Test
Daphniphyllum teijsmannii,17445,Test
Daphniphyllum teijsmannii,16137,Test
Daphniphyllum teijsmannii,517,Test
Lyonia ovalifolia,23708,Test
Lyonia ovalifolia,19905,Test
Lyonia ovalifolia,21909,Test
Lyonia ovalifolia,14776,Test
Lyonia ovalifolia,18143,Test
Pieris japonica,21956,Test
Pieris japonica,20994,Test
Pieris japonica,4349,Test
Pieris japonica,15850,Test
Pieris japonica,553,Test
Rhododendron Kaempferi,22685,Test
Rhododendron Kaempferi,21355,Test
Rhododendron Kaempferi,15922,Test
Rhododendron Kaempferi,20559,Test
Rhododendron Kaempferi,20528,Test
Mallotus japonicas,23347,Test
Mallotus japonicas,19341,Test
